Months and Years

Total Visitors

Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
2015						626	193	178	236	124	245	151	1,753
2016	113	120	261	295									789
Average per Day

Average Per Day
Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Overall
2015						30	6	6	8	4	8	5	9
2016	4	4	8	72									8
Recent Weeks

